PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,True_UniProtIDs,Label,Sentence
30197642,P05112,Interleukin-4,arachidonate 15-lipoxygenase,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P05112,Interleukin-4,alox15,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P05112,Interleukin-4,arachidonate 15-lipoxygenase,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P05112,Interleukin-4,th2 cytokine interleukin-4,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P05112,Interleukin-4,il-4,P05112,TP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P05112,Interleukin-4,interleukin-13,P35225,TP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P35225,Interleukin-13,arachidonate 15-lipoxygenase,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P35225,Interleukin-13,alox15,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P35225,Interleukin-13,arachidonate 15-lipoxygenase,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
30197642,P35225,Interleukin-13,th2 cytokine interleukin-4,,FP,"Arachidonate 15-lipoxygenase (ALOX15) and arachidonate 15-lipoxygenase, type B (ALOX15B) catalyze the dioxygenation of polyunsaturated fatty acids and are upregulated in human alternatively activated macrophages (AAMs) induced by Th2 cytokine interleukin-4 (IL-4) and/or interleukin-13."
