Synonym,False_Positive_Rate,Total_Matches,False_Positives
tumor necrosis factor ligand superfamily member 12,0.9975742874469375,1649,1645
c-c motif chemokine 13,0.9959555106167847,2967,2955
c-c motif chemokine 19,0.994590695997115,2773,2758
c-x-c motif chemokine 11,0.9945615227736234,2942,2926
tumor necrosis factor ligand superfamily member 10,0.9915100060642814,1649,1635
c-c motif chemokine 8,0.9590243902439024,3075,2949
c-c motif chemokine 3,0.9525296689569019,3202,3050
c-c motif chemokine 4,0.9311729280183539,3487,3247
c-c motif chemokine 7,0.8638004594683295,3047,2632
c-x-c motif chemokine 10,0.6866466866466866,3003,2062
macrophage colony-stimulating factor 1,0.34544853791508345,6053,2091
c-c motif chemokine 2,0.318486718540381,3727,1187
pro-epidermal growth factor,0.2727272727272727,11,3
c-x-c motif chemokine 9,0.26925675675675675,2960,797
granulocyte colony-stimulating factor,0.24008479816270648,11321,2718
stromal cell-derived factor 1,0.21176470588235294,1190,252
granulocyte-macrophage colony-stimulating factor,0.17361029151422164,8473,1471
interleukin-13,0.15267175572519084,262,40
interleukin-10,0.15037003812514016,8918,1341
interleukin-4,0.14673913043478262,7360,1080
interferon gamma,0.14568297246725476,14964,2180
interleukin-1 beta,0.13973976687449174,7378,1031
fms-related tyrosine kinase 3 ligand,0.12631578947368421,475,60
protransforming growth factor alpha,0.09608717186726103,4038,388
tumor necrosis factor,0.0947300652993654,65238,6180
interleukin-8,0.0917287698960346,10869,997
interleukin-17a,0.08172362555720654,673,55
interleukin-7,0.07783251231527094,1015,79
oncostatin-m,0.06944444444444445,144,10
interleukin-2,0.06264537137540704,19347,1212
interleukin-18,0.058349328214971206,2605,152
interleukin-6,0.05668016194331984,4940,280
eotaxin,0.05602294455066922,5230,293
lymphotoxin-alpha,0.05,40,2
interleukin-15,0.046251993620414676,627,29
interleukin-17f,0.0425531914893617,47,2
hepatocyte growth factor,0.03131905082140456,10409,326
macrophage metalloelastase,0.02531645569620253,79,2
oxidized low-density lipoprotein receptor 1,0.02169811320754717,1060,23
thymic stromal lymphopoietin,0.021665538253215978,1477,32
interleukin-33,0.014319809069212411,838,12
interleukin-27,0.014035087719298246,285,4
vascular endothelial growth factor a,0.00919578665774954,59810,550
interstitial collagenase,0.0,75,0
