Protein_Name,Sentence_Occurrence_Count
Tumor necrosis factor,143453
Interleukin-6,52331
Interleukin-2,28261
Interleukin-10,11887
Interleukin-8,11875
Hepatocyte growth factor,11874
Interferon gamma,11679
Granulocyte colony-stimulating factor,10791
Interleukin-4,8860
Granulocyte-macrophage colony-stimulating factor,8809
Eotaxin,8652
Interleukin-1 beta,7713
Vascular endothelial growth factor A,6094
Interleukin-18,2924
Thymic stromal lymphopoietin,1985
Interleukin-13,1560
Interleukin-7,1342
Interleukin-17A,1237
Interleukin-15,1078
Stromal cell-derived factor 1,1058
Interstitial collagenase,1023
Interleukin-33,923
Lymphotoxin-alpha,363
Interleukin-27,315
Oncostatin-M,183
C-X-C motif chemokine 10,142
Macrophage metalloelastase,133
C-C motif chemokine 2,104
Oxidized low-density lipoprotein receptor 1,87
Interleukin-17F,70
Macrophage colony-stimulating factor 1,65
Fms-related tyrosine kinase 3 ligand,60
Interleukin-17C,25
Pro-epidermal growth factor,22
C-X-C motif chemokine 11,14
C-C motif chemokine 19,13
C-C motif chemokine 8,12
C-X-C motif chemokine 9,10
C-C motif chemokine 4,10
Tumor necrosis factor ligand superfamily member 10,8
C-C motif chemokine 3,8
Tumor necrosis factor ligand superfamily member 12,7
C-C motif chemokine 7,3
