Protein,Occurrence_Count
Tumor necrosis factor,134921
Interleukin-6,76288
Vascular endothelial growth factor A,58091
Interleukin-2,36984
Interleukin-10,31716
Interleukin-1 beta,28750
Interleukin-4,23988
Interleukin-8,23488
Granulocyte-macrophage colony-stimulating factor,14880
Granulocyte colony-stimulating factor,14533
Hepatocyte growth factor,8051
Stromal cell-derived factor 1,7190
Interleukin-18,6999
Interleukin-13,5965
Tumor necrosis factor ligand superfamily member 10,5956
Interstitial collagenase,5083
Interleukin-15,3732
Fms-related tyrosine kinase 3 ligand,3183
Interleukin-33,2992
Interleukin-7,2940
Lymphotoxin-alpha,2618
Thymic stromal lymphopoietin,1198
Oxidized low-density lipoprotein receptor 1,1158
Macrophage metalloelastase,853
C-C motif chemokine 4,730
Tumor necrosis factor ligand superfamily member 12,618
Interleukin-27,465
