Protein,Synonym,Mentions
Interleukin-6,IL-6,36097
Interleukin-10,IL-10,20503
Tumor necrosis factor,TNF-alpha,13641
Interleukin-4,IL-4,13253
Interleukin-2,IL-2,10361
C-C motif chemokine 2,MCP-1,7482
Granulocyte-macrophage colony-stimulating factor,GM-CSF,5921
Interferon gamma,IFN-gamma,5836
Vascular endothelial growth factor A,VEGF,5460
Interleukin-17A,IL-17,4276
Interleukin-13,IL-13,4263
Hepatocyte growth factor,HGF,4262
Granulocyte colony-stimulating factor,G-CSF,3031
Interleukin-1 beta,Il-1 beta,2937
Interleukin-18,IL-18,2640
Interleukin-6,IL6,2423
Interleukin-8,Interleukin-8,2364
Interleukin-17A,IL-17A,2317
Interleukin-15,IL-15,1681
Interleukin-7,IL-7,1570
Macrophage colony-stimulating factor 1,M-CSF,1234
Hepatocyte growth factor,SF,1129
Interleukin-8,IL8,991
Pro-epidermal growth factor,EGF,868
C-X-C motif chemokine 9,MIG,849
Hepatocyte growth factor,scatter factor,665
Interleukin-1 beta,IL-1B,632
Interleukin-2,IL2,616
Tumor necrosis factor ligand superfamily member 10,TRAIL,597
C-C motif chemokine 2,monocyte chemoattractant protein 1,566
C-C motif chemokine 3,CCL3,532
Tumor necrosis factor,TNFA,517
C-C motif chemokine 7,MCP-3,442
Interleukin-17F,IL-17F,427
Vascular endothelial growth factor A,VEGF-A,417
C-X-C motif chemokine 9,CXCL9,409
C-C motif chemokine 4,CCL4,407
C-C motif chemokine 2,MCP1,393
Interleukin-13,IL13,356
C-C motif chemokine 2,monocyte chemotactic protein 1,308
Lymphotoxin-alpha,TNF-beta,283
Interleukin-27,IL-27,280
Eotaxin,CCL11,273
Granulocyte-macrophage colony-stimulating factor,granulocyte-macrophage colony stimulating factor,270
C-C motif chemokine 8,MCP-2,250
Oncostatin-M,OSM,235
C-X-C motif chemokine 11,I-TAC,221
Interleukin-17A,IL17,215
Thymic stromal lymphopoietin,TSLP,210
C-X-C motif chemokine 11,CXCL11,204
Granulocyte colony-stimulating factor,granulocyte colony stimulating factor,175
Granulocyte-macrophage colony-stimulating factor,GMCSF,161
C-C motif chemokine 3,SCI,150
Tumor necrosis factor ligand superfamily member 12,TWEAK,141
Granulocyte colony-stimulating factor,GCSF,138
C-C motif chemokine 13,MCP-4,135
C-C motif chemokine 7,CCL7,110
Eotaxin,eotaxin-1,110
Protransforming growth factor alpha,TGF-alpha,109
Interleukin-15,IL15,109
Interleukin-7,IL7,107
C-C motif chemokine 8,CCL8,87
Lymphotoxin-alpha,LTA,83
Fms-related tyrosine kinase 3 ligand,FLT3,83
Macrophage colony-stimulating factor 1,MCSF,74
Interleukin-1 beta,IL1-BETA,66
C-C motif chemokine 2,MCAF,64
C-C motif chemokine 3,macrophage inflammatory protein 1 alpha,61
Interleukin-17C,IL-17C,55
Interleukin-17F,IL17F,52
C-C motif chemokine 13,CCL13,50
Oxidized low-density lipoprotein receptor 1,LOX-1,45
Stromal cell-derived factor 1,SDF1,43
Interleukin-6,HSF,34
C-C motif chemokine 7,MCP3,34
Interleukin-27,IL27,32
Lymphotoxin-alpha,TNFB,32
C-C motif chemokine 2,monocyte chemotactic and activating factor,27
Granulocyte colony-stimulating factor,filgrastim,26
Granulocyte-macrophage colony-stimulating factor,sargramostim,21
Macrophage metalloelastase,MMP12,18
C-C motif chemokine 19,ELC,18
Interleukin-33,Interleukin-33,18
C-C motif chemokine 3,MIP-1-alpha,15
Protransforming growth factor alpha,TGFA,15
Interleukin-17C,IL17C,14
Tumor necrosis factor ligand superfamily member 12,TNFSF12,13
Interleukin-27,p28,13
C-C motif chemokine 7,monocyte chemotactic protein 3,12
Tumor necrosis factor,Cachectin,12
Interleukin-8,Chemokine (C-X-C motif) ligand 8,10
C-C motif chemokine 3,LD78,9
Interleukin-10,CSIF,9
Macrophage metalloelastase,matrix metalloproteinase-12,9
Interleukin-10,cytokine synthesis inhibitory factor,9
C-X-C motif chemokine 9,CMK,8
Interleukin-2,TCGF,8
Macrophage metalloelastase,HME,8
Interleukin-10,TGIF,8
Interleukin-2,T cell growth factor,7
C-X-C motif chemokine 11,IP-9,6
C-C motif chemokine 2,SCYA2,6
Oxidized low-density lipoprotein receptor 1,Oxidized low-density lipoprotein receptor 1,5
Interleukin-4,BSF1,5
Granulocyte-macrophage colony-stimulating factor,molgramostim,5
C-C motif chemokine 7,monocyte chemoattractant protein 3,5
Interleukin-18,IGIF,5
Interleukin-6,BSF2,5
Eotaxin,C-C motif chemokine 11,5
C-C motif chemokine 3,C-C motif chemokine 3,5
Stromal cell-derived factor 1,SDF1A,5
C-X-C motif chemokine 9,Humig,4
Hepatocyte growth factor,hepatopoietin A,4
C-C motif chemokine 7,SCYA7,4
Interstitial collagenase,CLG,4
C-C motif chemokine 3,LD78ALPHA,4
Tumor necrosis factor ligand superfamily member 10,Apo-2L,4
Hepatocyte growth factor,HPTA,4
C-C motif chemokine 4,MIP-1-beta,4
Eotaxin,Eosinophil chemotactic protein,3
C-C motif chemokine 3,SCYA3,3
Lymphotoxin-alpha,TNFSF1,3
Tumor necrosis factor,TNFSF2,3
Interleukin-2,Aldesleukin,3
C-C motif chemokine 4,Act-2,3
Interstitial collagenase,Collagenase-1,3
Tumor necrosis factor ligand superfamily member 10,Apo-2 ligand,3
C-C motif chemokine 7,SCYA6,2
Fms-related tyrosine kinase 3 ligand,FLT3LG,2
Eotaxin,SCYA11,2
Granulocyte colony-stimulating factor,lenograstim,2
C-X-C motif chemokine 10,SCYB10,2
C-C motif chemokine 4,SCYA4,2
C-C motif chemokine 8,SCYA8,2
C-C motif chemokine 13,NCC-1,2
Interleukin-27,IL30,2
C-X-C motif chemokine 10,INP10,2
Macrophage metalloelastase,macrophage elastase,1
Interleukin-18,interferon-gamma-inducing factor,1
Lymphotoxin-alpha,TNF superfamily member 1,1
Interleukin-27,IL27p28,1
C-X-C motif chemokine 11,SCYB11,1
C-X-C motif chemokine 11,Beta-R1,1
Interleukin-8,C-X-C motif chemokine 8,1
Oxidized low-density lipoprotein receptor 1,Ox-LDL receptor 1,1
