PubMedID,Matched_Protein_Id,Matched_Protein_Name,Other_protein,Sentence,marked_text
1286614,P14210,Hepatocyte growth factor,heparin-binding polypeptide mitogen,"Hepatocyte growth factor (HGF), a heparin-binding polypeptide mitogen, stimulates DNA synthesis in adult rat and human hepatocytes and in several other cells of epithelial origin.","[E1] Hepatocyte growth factor [/E1] (HGF), a [E2] heparin-binding polypeptide mitogen [/E2], stimulates DNA synthesis in adult rat and human hepatocytes and in several other cells of epithelial origin."
1290408,P04141,Granulocyte-macrophage colony-stimulating factor,cytokine,Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a cytokine which can stimulate the proliferation and functions of eosinophils and neutrophils.,[E1] Granulocyte-macrophage colony-stimulating factor [/E1] (GM-CSF) is a [E2] cytokine [/E2] which can stimulate the proliferation and functions of eosinophils and neutrophils.
1294020,P05231,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which has been suggested to function as an autocrine mitogen in psoriatic epidermis.,[E1] Interleukin-6 [/E1] (IL-6) is a [E2] multifunctional cytokine [/E2] which has been suggested to function as an autocrine mitogen in psoriatic epidermis.
1300486,P01375,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) plays a significant role in the pathogenesis of central nervous system infections.,[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) plays a significant role in the pathogenesis of central nervous system infections.
1303245,P10145,Interleukin-8,neutrophil chemoattractants,Interleukin-8 (IL-8) is the prototype for a family of at least eight neutrophil chemoattractants whose genes map to human chromosome 4q13-q21.,[E1] Interleukin-8 [/E1] (IL-8) is the prototype for a family of at least eight [E2] neutrophil chemoattractants [/E2] whose genes map to human chromosome 4q13-q21.
1307490,P60568,Interleukin-2,cytokine,Interleukin-2 (IL-2) is a cytokine with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.,[E1] Interleukin-2 [/E1] (IL-2) is a [E2] cytokine [/E2] with potent immunomodulating properties which has shown considerable antitumour activity in preclinical models.
1307623,P14210,Hepatocyte growth factor,hepatotrophic factor,"Hepatocyte growth factor (HGF) is the most potent mitogen for mature parenchymal hepatocytes in primary culture, and seems to be a hepatotrophic factor that acts as a trigger for liver regeneration after partial hepatectomy and liver injury.","[E1] Hepatocyte growth factor [/E1] (HGF) is the most potent mitogen for mature parenchymal hepatocytes in primary culture, and seems to be a [E2] hepatotrophic factor [/E2] that acts as a trigger for liver regeneration after partial hepatectomy and liver injury."
1310016,P01375,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,[E1] Tumor necrosis factor [/E1] alpha ([E2] TNF alpha [/E2]) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.
1310016,P01375,Tumor necrosis factor,parathyroid hormone-related protein,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,[E1] Tumor necrosis factor [/E1] alpha (TNF alpha) and [E2] parathyroid hormone-related protein [/E2] (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.
1310016,P01375,Tumor necrosis factor,PTHrP,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,[E1] Tumor necrosis factor [/E1] alpha (TNF alpha) and parathyroid hormone-related protein ([E2] PTHrP [/E2]) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.
1311232,P05231,Interleukin-6,IL-1 alpha,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.","[E1] Interleukin-6 [/E1] (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including [E2] IL-1 alpha [/E2], IL-1 beta, and angiotensin II."
1311232,P05231,Interleukin-6,IL-1 beta,"Interleukin-6 (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, IL-1 beta, and angiotensin II.","[E1] Interleukin-6 [/E1] (IL-6) is produced by adrenal zona glomerulosa cells; its release is stimulated by several secretagogues, including IL-1 alpha, [E2] IL-1 beta [/E2], and angiotensin II."
1311566,P05231,Interleukin-6,Tumor Necrosis Factor,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of [E2] Tumor Necrosis Factor [/E2] (TNF), Interleukin-1 (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311566,P05231,Interleukin-6,TNF,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor ([E2] TNF [/E2]), Interleukin-1 (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
1311566,P05231,Interleukin-6,Interleukin-1,"Effects of Tumor Necrosis Factor (TNF), Interleukin-1 (IL-1), Interleukin-6 (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1.","Effects of Tumor Necrosis Factor (TNF), [E2] Interleukin-1 [/E2] (IL-1), [E1] Interleukin-6 [/E1] (IL-6) and Interferon-gamma (IFN-gamma) on the expression of Mn-superoxide dismutase (Mn-SOD) protein were investigated in human hepatoma cells, Hu-H1, which revealed resistance to the cytotoxicity of TNF and IL-1."
